Type,Country,State,Activity,Sex,Age,Fatal Y/N,Month,Year,Species,Body Part
Unprovoked,Australia,Western Australia,Surfing,M,30,No,April,2023,Bronze Whaler Shark,Arm
Unprovoked,United States,Florida,Surfing,F,,No,April,2023,Unknown,Leg / Foot
Watercraft,United States,Florida,Fishing,M,,No,April,2023,Unknown,Unspecified / Multiple
Unprovoked,United States,Hawaii,Surfing,M,58,No,April,2023,Tiger Shark,Leg / Foot
Unprovoked,United States,Florida,Surfing,M,67,No,March,2023,Unknown,Leg / Foot
Provoked,Cuba,Artemisa,Fishing,M,17,No,March,2023,Unknown,Arm
Unprovoked,Australia,Western Australia,Swimming,M,,No,March,2023,Unknown,Leg / Foot
Unprovoked,United States,Hawaii,Swimming,M,60,No,March,2023,Blacktip Reef Shark,Leg / Foot
Unconfirmed,Mexico,Quintana Roo,Swimming,M,10,No,March,2023,Unknown,Leg / Foot
Unprovoked,Australia,Western Australia,Surfing,F,,No,March,2023,Oceanic Whitetip Shark,Unspecified / Multiple
Unprovoked,Brazil,Pernambuco,Swimming,F,15,No,March,2023,Unknown,Arm
Unprovoked,Brazil,Pernambuco,Swimming,M,14,No,March,2023,Unknown,Leg / Foot
Unprovoked,Seychelles,Praslin Island,Diving,M,6,Unknown,March,2023,Lemon Shark,Leg / Foot
Unprovoked,Brazil,Pernambuco,Surfing,M,32,No,February,2023,Unknown,Leg / Foot
Unprovoked,New Caledonia,South Province,Swimming,M,59,Yes,February,2023,Bull Shark,Unspecified / Multiple
Unprovoked,United States,Florida,Surfing,M,60,No,February,2023,Unknown,Leg / Foot
Unconfirmed,Argentina,Patagonia,Unknown,M,32,Unknown,February,2023,Unknown,Unspecified / Multiple
Unconfirmed,Fiji,Taveuni Island,Fishing,M,41,No,February,2023,Unknown,Unspecified / Multiple
Unprovoked,Australia,Western Australia,Swimming,F,16,Yes,February,2023,Bull Shark,Unspecified / Multiple
Unprovoked,Australia,Queensland,Fishing,M,8,No,January,2023,Caribbean Reef Shark,Unspecified / Multiple
Unprovoked,New Caledonia,South Province,Swimming,M,49,No,January,2023,Bull Shark,Leg / Foot
Unprovoked,United States,Florida,Swimming,M,34,No,January,2023,Unknown,Leg / Foot
Unprovoked,Mexico,Gulf of California,Surfing,M,53,Yes,January,2023,Unknown,Unspecified / Multiple
